time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
118,-17.30144331,696.52,498,241664,484,-1.6925934195518493,0.0003,1170,0.5633360147476196,0.2,205.48858642578125,186.484013235569,0.0275390625,-0.0017649433117185253,0.0028311242,0.6474248170852661
119,-16.708751730000003,699.8,499,243712,488,-1.6738822508603335,0.0003,1180,0.556583046913147,0.2,3.0227270126342773,46.111083486303684,0.125439453125,-0.00674236582199228,0.008768383,0.7923728227615356
120,-16.054851319999997,712.44,499,245760,491,-1.6632149156183005,0.0003,1190,0.5546818971633911,0.2,40.87065124511719,114.1647476553917,0.060546875,-0.006391208036802709,0.0058365436,0.6571111381053925
121,-14.60014786,719.08,499,247808,496,-1.6391355503350495,0.0003,1200,0.542170524597168,0.2,80.43965911865234,45.26044693849981,0.140576171875,-0.004407723186886869,0.010141464,0.8030810058116913
122,-16.541566619999998,725.0,498,249856,501,-1.6037993524223566,0.0003,1210,0.5361132025718689,0.2,18.56322479248047,41.96498205922544,0.0859375,-0.0020908895356114955,0.007957956,0.7707725912332535
123,-12.640076030000003,723.24,497,251904,506,-1.5906512472778558,0.0003,1220,0.5365121364593506,0.2,19.574514389038086,66.04166281893849,0.09580078125,-0.003935822288622148,0.005689064,0.8534067422151566
1,-169.11974366666666,622.6666666666666,797,2048,2,-1.5945740025490522,0.0003,1230,0.537972092628479,0.2,18.85430145263672,75.58873517662286,0.06044921875,-0.004909477998444345,0.0057262657,0.7020863890647888
2,-162.81958683333335,628.3333333333334,648,4096,6,-1.5931394152343272,0.0003,1240,0.5356881618499756,0.2,31.211551666259766,70.36542515456676,0.068505859375,-0.0059482347365701575,0.008576501,0.8417315185070038
3,-154.49588880000002,576.6,575,6144,10,-1.5884762343019247,0.0003,1250,0.5358206629753113,0.2,33.41716003417969,66.65063104331493,0.079931640625,-0.004120885401061969,0.0056894203,0.8540740311145782
4,-154.15873085714287,562.5714285714286,548,8192,14,-1.593387934938073,0.0003,1260,0.5379166603088379,0.2,65.54525756835938,116.2355007044971,0.05869140625,-0.004721812157367822,0.0053449525,0.7805546373128891
